266,34,40,70,11,0,24,130,13,51,-9,24,113,13,-30,24,97,72,1599,0,-1,-1,12,10118,10150,24,10077,1,61,2,83,11,3,72,92,5,46,16,20
283,10,20,30,9,10,4,60,10,88,16,5,143,16,5,6,17,12,1306,0,-1,-1,17,10172,10189,24,10163,3,1,4,62,13,7,80,97,5,54,13,19
103,44,45,80,13,10,1,130,14,205,137,4,261,13,115,6,104,69,2202,0,0,0,1,10181,10193,6,10169,17,56,1,81,14,2,49,84,1,22,14,40
300,25,32,60,18,0,1,90,17,140,89,24,200,17,79,24,50,30,1718,0,0,0,1,10272,10301,1,10247,17,63,6,80,8,6,72,88,3,54,8,28
328,27,29,50,12,0,4,100,13,117,20,4,193,15,-1,6,121,73,2594,0,0,0,1,10282,10293,22,10271,1,62,5,83,15,2,70,95,5,44,14,40
267,9,15,30,13,0,5,60,11,132,49,3,196,17,26,6,92,56,2221,0,0,0,1,10277,10288,1,10264,18,50,5,75,14,3,69,95,3,38,17,35
74,20,23,50,22,10,1,70,13,198,93,4,263,17,77,6,152,92,2760,0,0,0,1,10249,10268,1,10229,18,59,4,76,15,0,59,90,4,36,14,50
74,20,23,50,22,10,1,70,13,198,93,4,263,17,77,6,152,92,2760,0,0,0,1,10249,10268,1,10229,18,59,4,76,15,0,59,90,4,36,14,50
109,33,35,60,14,20,5,100,15,219,135,4,281,15,118,6,147,88,2874,0,0,0,1,10226,10236,8,10215,18,59,3,83,20,0,53,87,3,31,14,54
109,33,35,60,14,20,5,100,15,219,135,4,281,15,118,6,147,88,2874,0,0,0,1,10226,10236,8,10215,18,59,3,83,20,0,53,87,3,31,14,54
133,36,37,50,7,20,3,100,14,230,164,5,293,13,149,6,152,91,2966,0,0,0,1,10241,10247,9,10229,1,75,4,83,20,0,51,70,4,29,15,57
133,36,37,50,7,20,3,100,14,230,164,5,293,13,149,6,152,91,2966,0,0,0,1,10241,10247,9,10229,1,75,4,83,20,0,51,70,4,29,15,57
129,8,24,50,23,10,6,80,12,251,172,3,316,16,136,6,142,85,2789,0,0,0,1,10193,10210,5,10173,24,69,24,82,2,1,52,72,24,34,15,55
129,8,24,50,23,10,6,80,12,251,172,3,316,16,136,6,142,85,2789,0,0,0,1,10193,10210,5,10173,24,69,24,82,2,1,52,72,24,34,15,55
