17,Ede_1,09-04-2006,451000,173000,113,-30,97,-1,10118,72,20
36,Ede_1,23-04-2006,451000,173000,143,5,17,-1,10172,80,19
58,Ede_1,04-05-2006,451000,173000,261,115,104,0,10181,49,40
240,Ede_1,03-06-2006,451000,173000,200,79,50,0,10272,72,28
325,Ede_1,06-06-2006,451000,173000,193,-1,121,0,10282,70,40
347,Ede_1,07-06-2006,451000,173000,196,26,92,0,10277,69,35
407,Ede_1,09-06-2006,451000,173000,263,77,152,0,10249,59,50
414,Ede_1,09-06-2006,451000,173000,263,77,152,0,10249,59,50
430,Ede_1,10-06-2006,451000,173000,281,118,147,0,10226,53,54
473,Ede_1,10-06-2006,451000,173000,281,118,147,0,10226,53,54
481,Ede_1,11-06-2006,451000,173000,293,149,152,0,10241,51,57
521,Ede_1,11-06-2006,451000,173000,293,149,152,0,10241,51,57
559,Ede_1,13-06-2006,451000,173000,316,136,142,0,10193,52,55
562,Ede_1,13-06-2006,451000,173000,316,136,142,0,10193,52,55
601,Ede_1,14-06-2006,451000,173000,227,128,18,17,10184,79,23
616,Ede_1,15-06-2006,451000,173000,154,117,0,33,10184,92,7
629,Ede_1,15-06-2006,451000,173000,154,117,0,33,10184,92,7
675,Ede_1,16-06-2006,451000,173000,178,67,36,3,10192,75,28
693,Ede_1,17-06-2006,451000,173000,235,84,140,0,10193,63,50
713,Ede_1,17-06-2006,451000,173000,235,84,140,0,10193,63,50
714,Ede_1,17-06-2006,451000,173000,235,84,140,0,10193,63,50
747,Ede_1,17-06-2006,451000,173000,235,84,140,0,10193,63,50
751,Ede_1,18-06-2006,451000,173000,283,96,85,0,10144,63,43
765,Ede_1,18-06-2006,451000,173000,283,96,85,0,10144,63,43
818,Ede_1,18-06-2006,451000,173000,283,96,85,0,10144,63,43
821,Ede_1,18-06-2006,451000,173000,283,96,85,0,10144,63,43
843,Ede_1,18-06-2006,451000,173000,283,96,85,0,10144,63,43
903,Ede_1,19-06-2006,460000,189000,249,131,83,0,10119,71,39
937,Ede_1,20-06-2006,451000,173000,228,112,74,-1,10144,68,36
961,Ede_1,21-06-2006,451000,173000,191,117,9,2,10109,74,11
996,Ede_1,23-06-2006,451000,173000,198,78,48,0,10185,67,28
1118,Ede_1,25-06-2006,451000,173000,228,92,13,111,10113,78,15
1124,Ede_1,26-06-2006,451000,173000,190,130,0,0,10126,89,9
1190,Ede_1,28-06-2006,451000,173000,216,51,70,0,10215,69,38
1214,Ede_1,30-06-2006,451000,173000,275,114,93,0,10242,64,40
1228,Ede_1,30-06-2006,451000,173000,275,114,93,0,10242,64,40
1310,Ede_1,02-07-2006,451000,173000,302,163,149,0,10213,49,56
1324,Ede_1,03-07-2006,451000,173000,298,160,153,0,10177,44,57
1328,Ede_1,03-07-2006,451000,173000,298,160,153,0,10177,44,57
1329,Ede_1,03-07-2006,451000,173000,298,160,153,0,10177,44,57
1384,Ede_1,06-07-2006,451000,173000,282,171,73,83,10162,75,39
1386,Ede_1,06-07-2006,451000,173000,282,171,73,83,10162,75,39
1394,Ede_1,06-07-2006,451000,173000,282,171,73,83,10162,75,39
1549,Ede_1,16-07-2006,451000,173000,297,130,151,0,10278,47,53
1580,Ede_1,21-07-2006,448000,174000,322,161,126,0,10198,59,50
1679,Ede_1,05-08-2006,451000,173000,253,161,82,-1,10176,80,33
1694,Ede_1,06-08-2006,451000,173000,251,135,74,0,10190,79,29
1822,Ede_1,17-09-2006,451000,173000,217,118,18,0,10104,86,16
1942,Ede_1,30-03-2007,458600,187500,148,9,44,18,10129,87,18
